code_activity,name_activity,ar_name_activity
71419,Pupitre man,مشغل اللوحة التقنية
71418,Poursuiteur,متقفي اضاءة
71417,Opérateur poursuite,مشغل إضاءة متقفي
71416,Opérateur lumière,مشغل اضاءة
71415,Groupiste,مكلف بالمولدات الكهربائية للعروض
71414,Electricien plateau,كهربائي المرحلة
71413,Electricien jeu d'orgues,كهربائي البلاطو
71412,Electricien éclairagiste spectacle,كهربائي وحدة تحكم الإضاءة
71411,Electricien spectacle,كهربائي مكلف بإضاءة العرض
71410,Eclairagiste,تقني اضاءة
71409,Créateur lumière,مصمم الإضاءة
71408,Concepteur lumière,منفذ الإضاءة
71407,Chef section eclairagiste,رئيس قسم الإضاءة
71406,Chef opérateur lumière,رئيس مشغل الإضاءة
71405,Chef électricien spectacle,رئيس كهربائي العرض
71404,Chef éclairagiste,رئيس الإضاءة
71403,Assistant lumière,مساعد الإضاءة
71402,Régisseur technique général,ريجيسور تقني عام
71401,Régisseur technique,ريجيسور تقني
71309,Régisseur lumière,ريجيسور الإضاءة
71308,Régisseur général,ريجيسور عام
71307,Régisseur de tournée,ريجيسور الجولات
71306,Régisseur de son,ريجيسور الصوت
71305,Régisseur de plateau,ريجيسور استوديو
71304,Régisseur artistique,ريجيسور فني
71303,Assistant de régie,ريجيسور 
71302,Tapissier décorateur spectacle,مصمم ديكور السجاد للعروض
71301,Scénographe spectacle,مصمم المشهد للعروض
71216,Peintre en décor spectacle,رسام ديكور العرض
71215,Menuisier en décor spectacle,نجار ديكور العرض
71214,Ensemblier de décor spectacle,منسق الديكور للعروض
71213,Décorateur spectacle,مصمم ديكور العرض
71212,Décorateur spécialisé spectacle,مصمم ديكور مختص في العروض
71211,Constructeur en décor,مُنشئ في الديكور
71210,Chef magasin accessoires,رئيس مخزن الإكسسوارات
71209,Chef décorateur spectacle,رئيس مصمم ديكور العرض
71208,Chef décorateur spécialisé spectacle,رئيس مصمم ديكور مختص في العروض
71207,Chef atelier de construction des décors,رئيس ورشة إنشاء الديكور
71206,Chef atelier accessoires,رئيس ورشة الإكسسوارات
71205,Assistant décorateur spectacle,مساعد مصمم ديكور العرض
71204,Architecte en décors spectacle,مهندس ديكور مسرحي
71203,Accessoiriste,مسؤول الاكسسوارات
71202,Repasseur retoucheur de spectacle,كواء ومنمق ازياء العرض
71201,Piqueuse de spectacle,عاملة تضريب أزياء العرض
71112,Lingère de spectacle,مصمم ملابس داخلية الخاصة بالعرض
71111,Habilleur,مكلف بالإلباس في العرض
71110,Créateur de costumes,مصمم أزياء العرض
71109,Couturier spectacle,خياط أزياء العرض
71108,Costumier-habilleur,مصمم وملبس أزياء العرض
71107,Costumier,مصمم أزياء 
71106,Chef magasin des costumes,رئيس مخزن الأزياء
71105,Chef costumier,رئيس ازياء العرض
71104,Chef atelier couture spectacle,رئيس ورشة خياطة العرض
71103,Chef atelier costumes,رئيس ورشة أزياء العرض
71102,Maquilleur spectacle,واضع ماكياج في العروض
71101,Coiffeur-posticheur spectacle,حلاق وواضع الشعر المزيف في العروض
71008,Coiffeur-perruquier spectacle,حلاق وواضع الشعر المستعار في العروض
71007,Coiffeur spectacle,حلاق العروض
71006,Chef maquilleur spectacle,واضع ماكياج رئيسي في العروض
71005,Chef coiffeur spectacle,حلاق رئيسي في العروض
71004,Assistant maquilleur spectacle,مساعد واضع ماكياج العروض
71003,Assistant coiffeur spectacle,مساعد حلاق العروض
71002,Présentateur TV,مقدم تلفزيوني
71001,Présentateur radio,مقدم إذاعي
70911,Présentateur de spectacle,مقدم العروض
70910,Chroniqueur TV / Radio,مقدم فقرات تلفزيونية / اذاعية
70909,Chauffeur de salle,منشط الجمهور في قاعة
70908,Annonceur speaker radio,مذيع معلق
70907,Annonceur radio,مذيع راديو
70906,Animateur TV,منشط تلفزيوني
70905,Animateur radio,منشط اذاعي
70904,Animateur de spectacle,منشط العروض
70903,Mannequin publicité, عارض ازياء إعلانات
70902,Mannequin podium, عارض ازياء منصة
70901,Mannequin photo, عارض ازياء تصوير
70805,Mannequin haute couture, عارض أزياء خياطة راقية
70804,Mannequin,عارض ازياء
70803,Personnage,متقمص شخصية
70802,Pantomime,ممثل ايمائي
70801,Mime,ممثل صامت
70714,Marionnettiste,محرك دمى
70713,Imitateur,مقلد
70712,Humoriste,ممثل مازح 
70711,Doublure,ممثل بديل
70710,Conteur,حكواتي
70709,Comique,ممثل هزلي
70708,Comédien,ممثل كوميدي
70707,Clown,مهرج
70706,Acteur principal,ممثل رئيسي
70705,Acteur,ممثل
70704,Xylophoniste,عازف إكسيليفوني
70703,Violoniste,عازف الزيلوفون
70702,Violoncelliste,عازف الكمان
70701,Tubiste / Contre tubiste,عازف الطوبا / عازف الطوبا الكبير
70646,Trompettiste,عازف البوق
70645,Tromboniste,عازف الترومبون
70644,Timbalier,عازف التمبال
70643,Saxophoniste,عازف الساكسفون
70642,Régisseur d'orchestre,ريجيسير الأوركسترا
70641,Régisseur chœurs,ريجيسير الجوق
70640,Pianiste,عازف البيانو
70639,Percussionniste,عازف الإيقاع
70638,Organiste,عازف الأرغن
70637,Orchestrateur,موزع الموسيقى
70636,Musicien-accompagnateur,موسيقار منوعات
70635,Musicien soliste,موسيقار مرافق
70634,Musicien d'orchestre,موسيقار أوركسترا
70633,Musicien de variétés,موسيقار منوعات
70632,Musicien,موسيقار
70631,Joueur d'instrument ethnique ou traditionnel,عازف على الآلة العرقية أو التقليدية
70630,Joueur de synthétiseur,عازف الة المزج
70629,Instrumentiste,عازف الاتي 
70628,Hautboïste,عازف الة المزمار 
70627,Harpiste,عازف الجينك
70626,Harmoniciste,عازف الهارمونيكا
70625,Guitariste,عازف الجيتار
70624,Flûtiste,عازف الناي
70623,Directeur des chœurs,مدير الجوق
70622,Directeur artistique musique,مدير فني للموسيقى
70621,Corniste,عازف الة القرن
70620,Contrebassiste,عازف الكمان الكبير
70619,Contre bassoniste,عازف الباصون الكبير
70618,Claveciniste,عازف الة وترية
70617,Clarinettiste,عازف الكلارينيت
70616,Choriste,مغني جوق
70615,Chef d'orchestre,قائد الأوركسترا
70614,Chef de chœur,قائد الجوق
70613,Chanteur,مغني
70612,Batteur,عازف الإيقاع
70611,Bassoniste,عازف الباصون
70610,Bassiste,عازف الباص
70609,Auteur-interprète,كاتب ومؤدي
70608,Auteur-compositeur,كاتب وملحن
70607,Arrangeur musical,ملحن الإيقاعات الموسيقية
70606,Altiste,عازف كمان جهير/ التشيلو
70605,Accordéoniste,عازف الأكورديون
70604,Music manager,مدير أعمال موسيقي
70603,Manager d'artiste,مدير أعمال الفنان
70602,Directeur de casting,وكيل انتقاء الفنانين (كاستينغ)
70601,Agent littéraire,وكيل أدبي
